#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,CBSSportsName,CBSSportsID,YahooID,YahooName
101,Robbie Ray,592662,11486,11486,8775,*025j1*,SF,SP,SP,Ray,Robbie,Ray,Robbie,Robbie Ray P | SF,1947846,9691,Robbie Ray
102,J.T. Realmuto,592663,11739,11739,8800,*025i9*,PHI,C,C,Realmuto,J.T.,Realmuto,J.T.,J.T. Realmuto C | PHI,1947839,9718,J.T. Realmuto
103,Chasen Shreve,592741,10855,10855,17698,*02hkk*,ATL,RP,RP,Shreve,Chasen,Shreve,Chasen,Chasen Shreve P | ATL,2052548,9768,Chasen Shreve
104,Ryne Stanek,592773,15947,15947,9519,*02hhj*,STL,RP,RP,Stanek,Ryne,Stanek,Ryne,Ryne Stanek P | STL,2068544,10606,Ryne Stanek
105,Brock Stewart,592779,16727,16727,9392,*03deu*,LAD,RP,RP,Stewart,Brock,Stewart,Brock,Brock Stewart P | LAD,2245782,10325,Brock Stewart
106,Jameson Taillon,592791,11674,11674,7886,*01srb*,CHC,SP,SP,Taillon,Jameson,Taillon,Jameson,Jameson Taillon P | CHC,1765806,9123,Jameson Taillon
107,Vince Velasquez,592826,11189,11189,9070,*028is*,KC,RP,RP,Velasquez,Vince,Velasquez,Vince,Vince Velasquez P | KC,2117039,9992,Vince Velasquez
108,Rowan Wick,592858,592858,14646,9559,*02hq8*,SF,RP,RP,Wick,Rowan,Wick,Rowan,Rowan Wick P | SF,2171369,11143,Rowan Wick
109,Trevor Williams,592866,16977,16977,9457,*0311b*,WSH,RP,RP,Williams,Trevor,Williams,Trevor,Trevor Williams P | WAS,2066811,10144,Trevor Williams
110,Christian Yelich,592885,11477,11477,7903,*025dn*,MIL,DH,OF,Yelich,Christian,Yelich,Christian,Christian Yelich DH | MIL,1765815,9320,Christian Yelich
111,Xander Bogaerts,593428,12161,12161,8417,*025gb*,SD,SS,SS,Bogaerts,Xander,Bogaerts,Xander,Xander Bogaerts SS | SD,1945481,9319,Xander Bogaerts
112,Jorge Polanco,593871,13152,13152,8832,*02yd1*,NYM,2B,2B/3B,Polanco,Jorge,Polanco,Jorge,Jorge Polanco 2B | NYM,2106657,9750,Jorge Polanco
113,Eduardo Rodriguez,593958,13164,13164,8632,*029si*,ARI,SP,SP,Rodriguez,Eduardo,Rodriguez,Eduardo,Eduardo Rodriguez P | ARI,2042426,9546,Eduardo Rodriguez
114,Wandy Peralta,593974,14295,14295,9448,*047sh*,SD,RP,RP,Peralta,Wandy,Peralta,Wandy,Wandy Peralta P | SD,2264742,10391,Wandy Peralta
115,Tyron Guerrero,594027,594027,11691,9300,,BOS,RP,RP,Guerrero,Tyron,Guerrero,Tyron,Tyron Guerrero P | BOS,0,10145,Tyron Guerrero
116,Sam Moll,594580,14874,14874,9498,*0311r*,CIN,RP,RP,Moll,Sam,Moll,Sam,Sam Moll P | CIN,2118910,10178,Sam Moll
